rank, player_id, score, time, spm
325,ComeSocc,140015785,2278:07:10,1024.35
326,TnyMontana92,139901888,3569:35:00,653.21
327,kitaban-n,139848450,4060:45:00,573.98
328,djb31193,139715741,3620:13:20,643.22
329,MaDKiNg_911,139547490,5068:56:40,458.83
330,defmofo23,139517909,3524:56:40,659.67
331,ciccio_seal,139399692,3311:33:20,701.58
332,arreon,139289765,5396:40:00,430.17
333,Sylvain68-13OM,139231973,3772:51:40,615.06
334,GEALDANA22,139120739,4912:01:40,472.04
335,Eduxarope,139112931,3755:46:40,617.33
336,DjEnKy-74,138955780,3756:05:00,616.58
337,Crazy_-TiimaaL,138710819,1977:20:40,1169.17
338,No_Flyin_Z0nE,138429881,6187:03:20,372.9
339,PILOT_WEEZY,138204431,2192:12:30,1050.72
340,DJ4322,138190073,5175:33:20,445.01
341,Syamu-Assault77,138162120,2939:58:20,783.24
342,RSLAVIERO,137935974,4662:00:00,493.12
343,m1974485,137728504,3302:01:40,695.17
344,blacklabel195,137406241,4620:25:00,495.65
345,F1NN1SH_SL4Y3R,137294416,2674:30:10,855.58
346,undisputed_kiki,137097467,4446:45:00,513.85
347,gamuzaprb,136968134,3265:58:20,698.97
348,imhydrus1337,136915594,3177:51:40,718.07
349,Claymore_Klaus01,136776853,3142:15:00,725.47
350,I-SinK___,136394149,1871:59:30,1214.34
351,Servisco2,136375752,1809:09:50,1256.34
352,Opium_Diaries,136167614,3139:03:20,722.98
353,KINGHUNTER1996,136131225,4111:43:20,551.8
354,blackburn_10fire,136100390,3162:10:00,717.34
355,Para__BeIIum,135938978,1928:41:00,1174.71
356,Kaverao_Cacuia,135924067,3462:50:00,654.2
357,AquaBing,135871838,2162:02:30,1047.4
358,Dmr-KingNumber-1,135563473,4667:13:20,490.62
359,PeltZu,135519649,2194:46:20,1029.11
360,AndreMacedo,135251269,2545:01:00,885.73
361,LesGovt,134950995,2550:17:10,881.93
362,G4ngB4r3ng,134865939,1730:50:50,1298.65
363,GRAViiTYz-_,134842827,2809:23:20,799.95
364,GR4VITRON_69,134787297,4202:40:00,534.53
365,OBUCH88,134764439,3013:20:00,745.38
366,UItiM2Te_WaRriOr,134702597,3053:45:00,735.18
